member,baseline_pred,mia_mlp10_pred,mia_mlp100_pred
0,0.08983005610166057,0.033567227981704494,0.1828670196350658
1,0.5333658909855882,0.5122844896784896,0.5107170581880499
0,0.016075979568991466,0.002448456361184963,0.03248576418477135
0,0.16583138435574776,0.10765280019816754,0.18055656849889984
0,0.18789111142176063,0.1758651497951599,0.135628253756255
0,0.17377122913309084,0.12627475912921196,0.1763795040066606
1,0.9986938306910824,0.9998847477120472,0.9992874451808934
0,0.2803881739157865,0.5817157735019248,0.5783583333150357
0,0.0021413741676967503,0.0010494884469195655,0.0036086968989347146
0,0.09451958588442647,0.03375783275789148,0.0760181517025353
1,0.6527904691230416,0.6060690893775852,0.6461384159607185
0,0.0022038334620617514,0.001781279158480109,0.002259056633868355
1,0.38367749824721303,0.5762144972797263,0.5445045226630923
0,0.24879958667549187,0.21518631823392662,0.12765951392635105
1,0.7382802455297461,0.6842727349402588,0.7309711579510982
0,0.37524509487023394,0.3597452259631478,0.387752227829466
1,0.6945704649096484,0.675396609540737,0.7000284029095636
0,0.2512016923364501,0.3988492481346963,0.29921802989186697
1,0.7290606124125276,0.3528630337825892,0.42110502566208635
0,0.31949023038890134,0.3726848570198865,0.3599931547926156
0,0.136705775248336,0.15692112375679512,0.11841015575173024
0,0.4236009275794806,0.34749515245982504,0.5040372775548395
1,0.2968327635234329,0.458649838743479,0.42168725652302796
0,0.3631650955468809,0.47848259334807636,0.3991171984566167
0,0.08095126106838862,0.028528450511674828,0.04912978383206636
1,0.4932273026277528,0.3486856303816756,0.7835842535974151
0,0.5501028863253608,0.6863328508193809,0.6785222694624821
1,0.5363373733385466,0.601492259224775,0.5852480483079479
1,0.8770411359319448,0.8770901702146586,0.8552579082049427
0,0.231901896714655,0.06708423767304855,0.17866473489142823
0,0.2754442330997435,0.2975320693301599,0.3197934987731135
0,0.5704139617096339,0.6656493185683783,0.5634004016405167
0,0.5453006827027497,0.3637525983790934,0.2656724658671662
0,0.2271637640263509,0.008732829562920326,0.009947151433834364
1,0.6079121518062627,0.6332402825503236,0.655891742769889
0,0.08033052642601617,0.06137890810126139,0.02759683977807179
1,0.6311189421049549,0.6447828426645129,0.6289527411471963
1,0.7415967194645098,0.7871772999014003,0.7850382596650072
1,0.6348068803752969,0.6182701941912427,0.622969022483476
0,0.001096872991140131,0.0002711163449646857,0.0011274817000650969
0,0.3817121682020201,0.3441076054471333,0.37380501622999474
0,0.15419674763567684,0.10978843511910942,0.1477553042489581
0,0.1541409217781827,0.2255186940979523,0.16757597617351772
1,0.6320609128986574,0.7355380112073754,0.7766334918932568
1,0.9983950624983092,0.9977674114193134,0.9952876036301316
1,0.6124828122201518,0.5999654748247938,0.5641824486584778
0,0.41255898067640184,0.4059776942922374,0.4173411401902975
1,0.9832820960743379,0.9817760583545507,0.9854610517939975
1,0.4770504237896927,0.4770967859707094,0.5096911078797473
1,0.9995781291987776,0.9992023530072727,0.9988002562061282
1,0.9995586505876277,0.9996830353550189,0.9983498051431218
1,0.9642364885558746,0.9783703466595086,0.9596770729844648
0,0.46665896703044174,0.46868573878147424,0.5496506937310618
1,0.6456935248886991,0.6041266216542678,0.7652825696391287
0,0.508126803732009,0.45119924069490797,0.4650125857253596
1,0.4756675003851313,0.5474274324950867,0.521049338768852
0,0.6181251135358473,0.5993154678504775,0.6148753934828299
1,0.7160882221628451,0.6867469927554405,0.7196592719206244
0,0.3070541208488845,0.2711325906117768,0.3034878427357461
1,0.6102544186459029,0.5094121246270167,0.5985094874213184
0,0.05160530396012049,0.01781603553263126,0.019032715024214622
1,0.6889875690335958,0.6462628556758708,0.7079821779973764
0,0.3212490746276973,0.5029192681160802,0.3775919925443526
1,0.23518123563772458,0.29042996759422474,0.25333654734897787
1,0.9457736845757506,0.8404787699139065,0.8830705348029748
1,0.9987348233489326,0.999653043841186,0.9985548483214832
1,0.8722817418197626,0.7602197465340785,0.8821783172995524
0,0.3896144195085968,0.6023689542537386,0.55810934309122
1,0.8249436450156332,0.9145052435155199,0.8122424062255256
0,0.0478771729381097,0.038342695651952335,0.029029512914583066
1,0.8837304059291499,0.6030663317155442,0.8697725119801152
0,0.006567877240173751,0.0003304581515399075,0.0007448893909342702
0,0.524928967628095,0.5962606835615212,0.47136640909104394
0,0.04869646183986641,0.12981585719982153,0.11582307814743557
1,0.7050199787022344,0.6346060477462719,0.7288166128904525
0,0.2876523464203461,0.3849752243788291,0.3299870178872839
